title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Karaoke ,5/30/2016,1970,4762,15100438,78685
"Freaks"" ",5/30/2016,3634,1319,12005440,9457
Серия) ,5/30/2016,680719,41333,1384229916,1146479
Anniversary ,5/30/2016,1650,412,6717763,9180
Innovative ,5/30/2016,1994,1397,7464817,19419
Version) ,5/30/2016,82184,97405,108605159,665267
Persuasion ,5/30/2016,1100,2420,7024446,81046
aftermovie ,5/30/2016,23173,72374,101918463,496022
Dalio ,5/30/2016,702,1784,2938149,36599
supercluster ,5/30/2016,282,1879,3688386,27786
Next ,5/30/2016,37,0,4460,238
creativity ,5/30/2016,1,0,499,11
2014,5/30/2016,0,0,1474,4
HD.Qk. ,5/30/2016,19,65,260497,761
Daniel ,5/30/2016,0,0,303,6
ACL ,5/30/2016,0,0,242,2
2015,5/30/2016,0,0,5112,7
E-Book! ,5/30/2016,0,0,151,4
(www.likumi.lv) ,5/30/2016,1,0,843,1
20.9.2015) ,5/30/2016,0,0,17,0
Orphan ,5/30/2016,608,0,12297,1182
Copyeditors ,5/30/2016,0,0,339,0
) ,5/30/2016,156,549,569035,2196
v1.0] ,5/30/2016,0,7,2189,13
video) ,5/30/2016,0,0,597,5
Video ,5/30/2016,0,1,755,4
2015,5/30/2016,0,0,647,5
Courage ,5/30/2016,1398,2066,7726732,51483
كامل ,5/30/2016,1593,623,5396100,10043
2014,5/30/2016,575,100,1681693,2681
sangrenta ,5/30/2016,186,18115,278506,5756
4,5/30/2016,0,0,183,2
Migraciones ,5/30/2016,1,0,1599,2
Woman ,5/30/2016,23,61,102014,426
2014,5/30/2016,2,0,476,3
Milan ,5/30/2016,1,0,1766,0
[[2015]] ,5/30/2016,364,191,2160574,3516
Online ,5/30/2016,0,1,390,3
Elite ,5/30/2016,0,1,816,0
table ,5/30/2016,3,0,1769,12
sismo! ,5/30/2016,0,0,566,1
